00003	ALDH2	NP_000681.2	Alcohol sensitivity, acute	16440063,6582480,4065146,2987944,7593603,8903321,10780266,15654505,10627091,16046871
00248	CACNA1S	NP_000060.2	Thyrotoxic periodic paralysis, susceptibility to	15001631
00248	CACNA1S	NP_000060.2	Hypokalemic periodic paralysis	8004673,3037387,7847370,7987325,7897626,10074484
00248	CACNA1S	NP_000060.2	Malignant hyperthermia, susceptibility to, 5	9199552,11260227
00255	CAPN3	NP_000061.1	Muscular dystrophy, limb-girdle, type 2A	7720071,9150160,9762961,9771675,15725583
00255	CAPN3	NP_000061.1	Muscular dystrophy, limb-girdle, type 2A, Amish	7720071,9246005
00256	CASQ2	NP_001223.2	Ventricular tachycardia, stress-induced polymorphic, autosomal recessive	11704930
00261	CA4	NP_000708.1	Retinitis pigmentosa 17	7581389,9385361,15090652
00265	CA1	NP_001729.1	Carbonic anhydrase I, Icaria	406674
00265	CA1	NP_001729.1	Carbonic anhydrase I, Guam	827930,6781336
00282	CAT	NP_001743.1	Acatalasemia, Japanese type	2308162,1551654
00283	TYRP1	NP_000541.1	Albinism, oculocutaneous, type III	8651291,9345097,15996218
00283	TYRP1	NP_000541.1	Rufous oculocutaneous albinism	9345097
00284	COMT	NP_000745.1	Schizophrenia, susceptibility to	15645182
00284	COMT	NP_000745.1	Catechol-O-methyltransferase polymorphism	848488,7304673,8886163,11772685,11502905,8941353,9110364,7585135,8807664,11381111,12402217,12611827,15652872,11925305,15169701,15645182,16135635,12359690,11171904,10459407,12436243,12842306,12595695,12716966,15457404,15821730,16275815,16043133,15935994,16542388,16513880
00286	CTNNB1	NP_001895.1	Pilomatricoma, somatic	10192393,10666372,11703283
00286	CTNNB1	NP_001895.1	Ovarian carcinoma, endometrioid type, somatic	10391090
00286	CTNNB1	NP_001895.1	Hepatocellular carcinoma, somatic	10435629
00286	CTNNB1	NP_001895.1	Colorectal cancer	9065402,9294210,10192393
00286	CTNNB1	NP_001895.1	Hepatoblastoma, somatic	9927029,9500465,10398436,10435629,10655994,10192393
00291	CTSD	NP_001900.1	Ceroid lipofuscinosis, neuronal, 10	16685649,16670177
00296	CEBPA	NP_004355.2	Leukemia, acute myeloid	11242107,12661007,15575056
00298	CDKN1A	NP_510867.1	CIP1/WAF1 tumor-associated polymorphism 1	7655464,8084608,8807325
00311	CNBP	NP_001120664.1	Myotonic dystrophy	11486088
00317	CP	NP_000087.1	Aceruloplasminemia	1458725,7539672,7708681,3574673,5912351,5675426,8789443,11756598,2016084,8641692
00318	HSPD1	NP_002147.2	Spastic paraplegia 13	11898127
00320	CLCN1	NP_000074.2	Myotonia congenita, autosomal recessive	1379744,7981750,8301644,7951242,7951215,7581380,8845168,8533761,10737121,10644771,11113225,11840191
00320	CLCN1	NP_000074.2	Myotonia Levior	7581380,12456816
00320	CLCN1	NP_000074.2	Myotonia congenita, autosomal dominant	7981750,9122265,8112288,8845168,12661046,7581380
00322	CCKAR	NP_000721.1	Cholecystokinin A receptor polymorphism	9192855,10333087,11773861
00325	CETP	NP_000069.2	Longevity, exceptional	14559957
00325	CETP	NP_000069.2	Cholesterol ester transfer protein deficiency	2586614,2215607,6738363,2390095,8408659,7962532,7989465,7605382
00326	CYP11A1	NP_000772.2	Lipoid congenital adrenal hyperplasia	11502818
00326	CYP11A1	NP_000772.2	Adrenal insufficiency, congenital	12161514
00326	CYP11A1	NP_000772.2	Adrenal insufficiency, congenital, with 46, XY sex reversal	15507506
00332	CHRNA2	NP_000733.2	Epilepsy, nocturnal frontal lobe, type 4	16826524
00333	CHRNA4	NP_000735.1	Nicotine addiction, protection against	15154117
00333	CHRNA4	NP_000735.1	Epilepsy, nocturnal frontal lobe, type 1	7647781,7550350,8696332,7476881,9175743,10563623,14623738
00335	CHRNB2	NP_000739.1	Epilepsy, nocturnal frontal lobe, type 3	11062464,11104662
00340	VCAN	NP_004376.2	Wagner syndrome 1	16043844
00347	CNTF	NP_000605.1	Ciliary neurotrophic factor polymorphism	8075647,9342199,11951178,11890844,12404108,14747836
00354	COL4A3	NP_000082.2	Hematuria, benign familial	11961012
00354	COL4A3	NP_000082.2	Alport syndrome, autosomal recessive	7987396,9195222,7987301,1400291,7633417,9647515
00357	COL10A1	NP_000484.2	Metaphyseal chondrodysplasia, schmid type	8220429,8304336,8004099,8012364,7749409,8554571,9067753,9525992,12554676,7607655,7936797,9837818,9852679,10991694
00358	COL7A1	NP_000085.1	Epidermolysis bullosa pruriginosa, autosomal recessive	10383749,16965329
00358	COL7A1	NP_000085.1	Epidermolysis bullosa pruriginosa, autosomal dominant	10383749,9182828,9881948,9718359,16965329
00358	COL7A1	NP_000085.1	Toenail dystrophy, isolated	10469344,11843659
00358	COL7A1	NP_000085.1	Epidermolysis bullosa, pretibial, autosomal recessive	10583163,9215684,12485454
00358	COL7A1	NP_000085.1	Epidermolysis bullosa dystrophica with subcorneal cleavage	11874498,2653224,9347800,9856844,10084325
00358	COL7A1	NP_000085.1	Epidermolysis bullosa dystrophica, Bart type	5910871,8618021
00358	COL7A1	NP_000085.1	Epidermolysis bullosa dystrophica, dominant	8170945,9892921,9856844,16557343
00358	COL7A1	NP_000085.1	Epidermolysis bullosa dystrophica, autosomal recessive	8513326,8644730,7883979,9740253,11167698
00358	COL7A1	NP_000085.1	Epidermolysis bullosa, pretibial	8541842
00358	COL7A1	NP_000085.1	Epidermolysis bullosa dystrophica, autosomal recessive, Localisata variant	8755915,16965329,9804332
00358	COL7A1	NP_000085.1	Transient bullous dermolysis of the newborn	9856844
00359	COL4A1	NP_001836.2	Brain small vessel disease with hemorrhage	16598045
00359	COL4A1	NP_001836.2	Porencephaly, familial	6428250,15905400,15136694,16107487
00360	COL4A4	NP_000083.3	Alport syndrome, autosomal recessive	7987396,9195222,9792860
00360	COL4A4	NP_000083.3	Hematuria, benign familial	8787673
00361	COL2A1	NP_001835.3	Vitreoretinopathy with phalangeal epiphyseal dysplasia	12205109
00361	COL2A1	NP_001835.3	Hypochondrogenesis	1374906,1429602
00361	COL2A1	NP_001835.3	Platyspondylic skeletal dysplasia, Torrance type	14729840
00361	COL2A1	NP_001835.3	Rhegmatogenous retinal detachment, autosomal dominant	15671297
00361	COL2A1	NP_001835.3	Avascular necrosis of the femoral head, primary	15930420
00361	COL2A1	NP_001835.3	Otospondylomegaepiphyseal dysplasia	16189708
00361	COL2A1	NP_001835.3	Stickler syndrome, type I	1677770,1444917,8434604,2803268,8406454,7487609,14299791,8737653,10706362,11007540,10982970,12939326
00361	COL2A1	NP_001835.3	Osteoarthritis with mild chondrodysplasia	2300123,1975693,1985108,8507190,7757086,9711874
00361	COL2A1	NP_001835.3	Spondyloepiphyseal dysplasia congenita	2543071,2339128,8423604,8325895,9101290,10678662,11746045
00361	COL2A1	NP_001835.3	Achondrogenesis-hypochondrogenesis, type II	2572591
00361	COL2A1	NP_001835.3	Spondyloepiphyseal dysplasia, namaqualand type	6496567,3568474,1671807
00361	COL2A1	NP_001835.3	Spondyloepimetaphyseal dysplasia, strudwick type	7550321
00361	COL2A1	NP_001835.3	Achondrogenesis, type II	7829510,7757081
00361	COL2A1	NP_001835.3	Kniest dysplasia	7981752,10406661,4014370,7849719,7874117,9066888,9468540
00361	COL2A1	NP_001835.3	Spondyloepiphyseal dysplasia with precocious osteoarthritis	8244341,8024616
00361	COL2A1	NP_001835.3	Stickler syndrome, type I, nonsyndromic ocular	8317498,16752401,11007540,15671297,11812423,14338642,11410667
00361	COL2A1	NP_001835.3	Spondylometaphyseal dysplasia, congenital type	8486375,8723096
00361	COL2A1	NP_001835.3	Spondyloperipheral dysplasia	8723097
00361	COL2A1	NP_001835.3	Epiphyseal dysplasia, multiple, with myopia and conductive deafness	9800905
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type IV	3722186,2745420,8456809,10417276,9007315
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type II/III	8364588
00362	COL1A1	NP_000079.2	Dissection of cervical arteries, susceptibility to	8757037
00362	COL1A1	NP_000079.2	Osteoporosis, susceptibility to	8841196,9535665,11204438
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type II, thin-bone type	8950680,2500431,2121988
00362	COL1A1	NP_000079.2	Ehlers-Danlos syndrome, type VII-A	9295084
00362	COL1A1	NP_000079.2	Ehlers-Danlos syndrome, type I	10739762
00362	COL1A1	NP_000079.2	OI/EDS combined syndrome	15728585,16407265
00362	COL1A1	NP_000079.2	Caffey disease	15864348
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type IIC	1613761
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type IIA	1613761
00362	COL1A1	NP_000079.2	Osteoporosis, idiopathic	1737847
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type III/IV	1770532,2794057
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type I	2295701,1988452,1634225,8408653,2542316,9067755,7942841,15024692
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type III	2794057,2511192,2037280,8669434,8456809,7789952,8786074,8723681,8910493,15024692
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta, type II	2794057,3108247,3403550,3667599,3198624,2339700,2309707,2913053,2220807,3016737,2500431,2121988,6702894,3612715,2035536,2037280,8669434,2894346,8100856,1874719,2298750,1864604,1511982,8097422,8100209,7816518,7881420,9143923,12538651
00362	COL1A1	NP_000079.2	Ehlers-Danlos syndrome, type VIIA	3082886,6462220,2767050,1867198
00362	COL1A1	NP_000079.2	Osteogenesis imperfecta	3722184,3170557,1718984,1137656
00363	COL1A2	NP_000080.2	Osteogenesis imperfecta/Ehlers-Danlos crossover syndrome	10982177
00363	COL1A2	NP_000080.2	Ehlers-Danlos/osteogenesis imperfecta crossover syndrome	11288717
00363	COL1A2	NP_000080.2	Ehlers-Danlos syndrome, autosomal recessive, cardiac valvular form	15077201,3383844,16816023
00363	COL1A2	NP_000080.2	Osteogenesis imperfecta, atypical, with joint hypermobility	1551666
00363	COL1A2	NP_000080.2	Osteoporosis, postmenopausal	2052622,1463018,8786074
00363	COL1A2	NP_000080.2	Osteogenesis imperfecta, type IV-B	2897363
00363	COL1A2	NP_000080.2	Ehlers-Danlos syndrome, type VII-B	2993307,2454224,8081389,2767050,1990839,3733683,7864655,1712342,1577745,3621666,1556139,8071956,9295084
00363	COL1A2	NP_000080.2	Osteogenesis imperfecta, type II	3372533,2914942,2777764,8456807,2839839,1301191,1711048,1874719,1385413,8081394
00363	COL1A2	NP_000080.2	Dentinogenesis imperfecta, severe, with very mild osteogenesis imperfecta	3403536,8829655
00363	COL1A2	NP_000080.2	Osteogenesis imperfecta, type III	6092353,8444468,8081394,3995789,8100856,7749416,8950681,10807697
00363	COL1A2	NP_000080.2	Marfan syndrome, atypical	6950413,3011649
00363	COL1A2	NP_000080.2	Osteogenesis imperfecta, type IV	8456807,2064612,7881420,9143923,8786065,9268111,11836364
00363	COL1A2	NP_000080.2	Osteogenesis imperfecta, type III, autosomal recessive	9099837
00365	COL3A1	NP_000081.1	Aneurysm, familial arterial	10928898,10928899
00365	COL3A1	NP_000081.1	Collagen type III polymorphism	2235526
00365	COL3A1	NP_000081.1	Aortic aneurysm	2349939,1939638
00365	COL3A1	NP_000081.1	Arterial aneurysms, familial	2349939,2365710
00365	COL3A1	NP_000081.1	Ehlers-Danlos syndrome, type IV	2492273,2981879,6507506,2365710,2834369,1998337,1895316,1619632,1757960,2145268,3162228,1370809,3204406,1496983,1357232,6477831,8098182,10706896,8514866,1568754,2771024,2710295,8320698,7581395,8664902,3076851,7749417,2583342,8990011,9147870,10051163,12694234,12786757
00365	COL3A1	NP_000081.1	Ehlers-Danlos syndrome, type III	7833919
00366	COL5A2	NP_000384.2	Ehlers-Danlos syndrome, type I	9425231
00366	COL5A2	NP_000384.2	Ehlers-Danlos syndrome, type II	9783710
00367	COL9A1	NP_001842.3	Epiphyseal dysplasia, multiple, COL9A1-related	11565064
00367	COL9A1	NP_001842.3	Stickler syndrome, autosomal recessive, COL9A1-related	16909383
00368	COL5A1	NP_000084.3	Ehlers-Danlos syndrome, type I	8923000,9042913,10602121,10946364,10796876,10777716,12145749
00368	COL5A1	NP_000084.3	Ehlers-Danlos syndrome, mixed type	8950675,8575750
00368	COL5A1	NP_000084.3	Ehlers-Danlos syndrome, type II	9042913,9683580
00370	COL6A1	NP_001839.2	Ullrich congenital muscular dystrophy, autosomal dominant	12840783,16130093
00370	COL6A1	NP_001839.2	Ullrich congenital muscular dystrophy, autosomal recessive	16130093
00370	COL6A1	NP_001839.2	Bethlem myopathy	8782832,9580662,8268929,10329467,11865138,10419498,12840783,15955946,7881296,11932968
00371	COL6A3	NP_004360.2	Ullrich congenital muscular dystrophy	11992252
00371	COL6A3	NP_004360.2	Bethlem myopathy	9536084
00373	COL9A2	NP_001843.1	Intervertebral disc disease, susceptibility to	10411504
00373	COL9A2	NP_001843.1	Epiphyseal dysplasia, multiple, 2	8528240,10364514,12244547
00374	COL9A3	NP_001844.3	Epiphyseal dysplasia, multiple, 3	10090888
00374	COL9A3	NP_001844.3	Epiphyseal dysplasia, multiple, with myopathy	10655510,10678658
00374	COL9A3	NP_001844.3	Intervertebral disc disease, susceptibility to	11308397
00375	COL11A1	NP_542196.2	Marshall/Stickler syndrome	1536174,10486316
00375	COL11A1	NP_542196.2	Stickler syndrome, type II	8872475,10573014
00375	COL11A1	NP_542196.2	Marshall syndrome	9529347,9792885,9129742,13520885,10486316
00376	COL11A2	NP_542411.2	Deafness, autosomal dominant nonsyndromic sensorineural 13	10581026
00376	COL11A2	NP_542411.2	Weissenbacher-Zweymuller syndrome, autosomal recessive	10677296
00376	COL11A2	NP_542411.2	Weissenbacher-Zweymuller syndrome	14234962,9805126
00376	COL11A2	NP_542411.2	Deafness, autosomal recessive 53	16033917
00376	COL11A2	NP_542411.2	Stickler syndrome, type III	7833911,7859284,9506662
00376	COL11A2	NP_542411.2	Otospondylomegaepiphyseal dysplasia	7859284,9188673,10677296
00382	COL18A1	NP_569711.2	Knobloch syndrome	10942434,12415512,1554013,14695535
00384	MMP1	NP_002412.1	COPD, rate of decline of lung function in	11875051
00385	MMP8	NP_002415.1	Preterm premature rupture of the membranes	15367487
00386	MMP2	NP_004521.1	Multicentric osteolysis, nodulosis, and arthropathy	11431697
00386	MMP2	NP_004521.1	Winchester syndrome	15691365,6525336,10356396,2625626,16542393
00389	MSH2	NP_000242.1	MSH2 polymorphism	10023327
00389	MSH2	NP_000242.1	Colorectal cancer, hereditary, nonpolyposis, type 1	10051005,8062247,10978353,10528862,12454801,16199548,10693791
00389	MSH2	NP_000242.1	Neurofibromatosis, type I, with leukemia	11809679
00389	MSH2	NP_000242.1	Glioblastoma, early-onset	12549480
00389	MSH2	NP_000242.1	Muir-torre syndrome	7713503,9217825
00389	MSH2	NP_000242.1	Colorectal cancer, hereditary nonpolyposis, type 1	8261515,7874129,7937795,8723682,12694232,12658575,15042510,16451135,16951683
00390	MLH1	NP_000240.1	Colorectal cancer, sporadic, susceptibility to	15184898
00390	MLH1	NP_000240.1	Muir-torre syndrome	4063166,8751876,8198129,7705822
00390	MLH1	NP_000240.1	Turcot syndrome with glioblastoma	7661930
00390	MLH1	NP_000240.1	Colorectal cancer, hereditary nonpolyposis, type 2	8128251,8145827,7584997,8940269,9245993,2022152,9272156,9831355,9927033,11343035,9927034,10598809,11389087,12124320,12919137,12919140,8566964,8574961,11781295,14635101,12112654,15139004,15571801,16451135,15923275,16341550,15064764,17301300
00391	DCC	NP_005206.2	Esophageal carcinoma	8187090
00391	DCC	NP_005206.2	Colorectal cancer	8188295
00393	C1QA	NP_057075.1	C1q deficiency, type A	8840296,9225968
00394	C1QB	NP_000482.3	C1q deficiency, type B	2894352
00395	C1QC	NP_758957.2	C1q deficiency, type C	8840296,8630118,7900940
00397	C1S	NP_958850.1	C1s deficiency	9856483,11390518
00398	CR1	NP_000642.3	Malaria, severe, protection against	10528197,14694201
00400	C3	NP_000055.2	C3 polymorphism, HAV 4-1 plus/minus type	1976733
00400	C3	NP_000055.2	C3 deficiency	1976733
00400	C3	NP_000055.2	C3S/C3F polymorphism	1976733,16687714
00401	C4A	NP_009224.2	C4A deficiency	2295875,8473511
00405	C5	NP_001726.2	Liver fibrosis, susceptibility to	15995705
00405	C5	NP_001726.2	Complement component 5 deficiency	7730648,15488949,15778377
00406	CD46	NP_758869.1	Hemolytic-uremic syndrome, atypical	14615110,10528197,9551389,14566051
00408	C9	NP_001728.1	C9 deficiency	9570574,9703418,11359403,12596049,9144525,2241452,9634479
00409	C8A	NP_000553.1	Complement component 8, alpha subunit, A/B polymorphism	7649542
00410	C8B	NP_000057.1	Complement C8B deficiency	8098723
00413	GJB2	NP_003995.2	Vohwinkel syndrome	10369869,9326398
00413	GJB2	NP_003995.2	Keratoderma, palmoplantar, with deafness	10633135,12372058,15996214
00413	GJB2	NP_003995.2	Keratitis-ichthyosis-deafness syndrome, autosomal dominant	11912510,12072059
00413	GJB2	NP_003995.2	Keratitis-ichthyosis-deafness syndrome	11912510,12752120,14700667,12560944
00413	GJB2	NP_003995.2	Knuckle pads, leukonychia, and sensorineural deafness	15482471,10633135
00413	GJB2	NP_003995.2	Deafness, neurosensory, autosomal recessive 1	8789457,9139825,9328482,9285800,9336442,9482292,9819448,10376574,10422812,10782932,10633133,10607953,10713883,11313751,11313763,11483639,12081719,12239718,12176036,12522556,2706105,12684873,12786762,14986832,16773579,16868655,14070830,9471561,12457154,10982182,12384781,14505035,12121355,9529365,10982180,16840571,10218527,14985372,11935342,16650079,11556849,15592461,15253766
00413	GJB2	NP_003995.2	Deafness, autosomal dominant nonsyndromic sensorineural 3	9139825,2956987,9716127,9529365,9422505,10903123,11134236,10757647,12176036,12384501,14694360,9856479,11354642,12700168,11313763,10807696,11298683,9620796,12786758,12668604
00414	GJA1	NP_000156.1	Oculodentodigital dysplasia	10331943,12457340,220941,2309863,4209752,1057461,7815444
00414	GJA1	NP_000156.1	Hypoplastic left heart syndrome	11470490
00414	GJA1	NP_000156.1	Syndactyly, type III	2157843,14729836
00415	GJA3	NP_068773.2	Cataract, zonular pulverulent, 3	10205266,10746562
00416	FBN2	NP_001990.2	Contractural arachnodactyly, congenital	7493032,8900230,9106527,9199560,7633409,9737771,10797416
00417	CPOX	NP_000088.3	Harderoporphyria	6886003,7757079,8286403,9454777,7987309
00417	CPOX	NP_000088.3	Coproporphyria	8159699,7987309,11309681,8990017,9843038,8286403,12181641,12227458,16398658
00419	SERPINA6	NP_001747.2	Corticosteroid-binding globulin deficiency	7061486,8212073,10634411,11502797
00420	CYP2A6	NP_000753.3	Lung cancer, resistance to	10217419,10441482
00420	CYP2A6	NP_000753.3	Tegafur, poor metabolism of	12042667
00420	CYP2A6	NP_000753.3	Coumarin, poor metabolism of	2322567,7668294,9409631,9827545,10217419,9655391,10093988,11281276,12325023
00420	CYP2A6	NP_000753.3	Nicotine, poor metabolism of	7668294,9655391
00421	MSX2	NP_002440.2	Parietal foramina 1	10742103,10767351
00421	MSX2	NP_002440.2	Parietal foramina with cleidocranial dysplasia	14571277
00421	MSX2	NP_002440.2	Craniosynostosis, Boston-type	8968743,7597092
00427	CRYAA	NP_000385.1	Cataract, autosomal recessive congenital 1	11006246
00427	CRYAA	NP_000385.1	Cataract, autosomal dominant nuclear	14512969
00427	CRYAA	NP_000385.1	Cataract, zonular central nuclear	9467006,11123904,12601044
00428	CRYAB	NP_001876.1	Cataract, posterior polar, 2	11577372
00428	CRYAB	NP_001876.1	Alpha-B crystallinopathy	14681890
00428	CRYAB	NP_001876.1	Alpha-B crystallinopathy with cataract	570292,9731540,12601044,12812987
00429	CRYBA1	NP_005199.2	Cataract, autosomal dominant, congenital, nuclear progressive	14598164,15016766
00429	CRYBA1	NP_005199.2	Cataract, congenital zonular, with sutural opacities	7573044
00430	CRYBB2	NP_000487.1	Cataract, sutural, with punctate and cerulean opacities	11424921
00430	CRYBB2	NP_000487.1	Cataract, congenital, cerulean type, 2	8812489,9158139,10634616,11424921
00431	CRYBB3	NP_004067.1	Cataract, congenital nuclear, autosomal recessive 2	15914629
00432	CRYBA4	NP_001877.1	Cataract, lamellar 2	15452067,16960806
00432	CRYBA4	NP_001877.1	Microphthalmia, isolated, with cataract 4	16960806
00435	CRYGC	NP_066269.1	Cataract, Coppock-like	10521291,8004095,12601044
00435	CRYGC	NP_066269.1	Cataract, variable zonular pulverulent	10914683,8190472
00435	CRYGC	NP_066269.1	Cataract, congenital lamellar	12011157
00436	CRYGD	NP_008822.2	Cataract, crystalline aculeiform	10521291
